federal_district,region,Название_полигона,Вид_организации,area_km2,population,Количество_организаций,density_per_1000km2,density_per_100k
Центральный,Белгородская обл,Белгородская,СРО акционерных инвестиционных фондов и управляющих компаний ИФ ПИФ и НПФ,27134.0,1500659.0,0,0.0,0.0
Центральный,Белгородская обл,Белгородская,СРО Брокеров,27134.0,1500659.0,0,0.0,0.0
Центральный,Белгородская обл,Белгородская,СРО Дилеров,27134.0,1500659.0,0,0.0,0.0
Центральный,Белгородская обл,Белгородская,СРО Регистраторов,27134.0,1500659.0,0,0.0,0.0
Центральный,Белгородская обл,Белгородская,Операторы обмена цифровых финансовых активов,27134.0,1500659.0,0,0.0,0.0
Центральный,Белгородская обл,Белгородская,СРО Форекс-дилеров,27134.0,1500659.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Все организации,34857.0,1142404.0,313,8.979544998135239,27.398363451108363
Центральный,Брянская обл,Брянская,Микрокредитные компании,34857.0,1142404.0,102,2.926241500989758,8.928540166175889
Центральный,Брянская обл,Брянская,Ломбарды,34857.0,1142404.0,7,0.2008204951659638,0.6127429525806982
Центральный,Брянская обл,Брянская,Кредитные потребительские кооперативы,34857.0,1142404.0,3,0.08606592649969877,0.262604122534585
Центральный,Брянская обл,Брянская,Сельскохозяйственные кредитные потребительские кооперативы,34857.0,1142404.0,3,0.08606592649969877,0.262604122534585
Центральный,Брянская обл,Брянская,Операторы по приему платежей,34857.0,1142404.0,4,0.11475456866626503,0.3501388300461133
Центральный,Брянская обл,Брянская,Кредитные организации,34857.0,1142404.0,192,5.508219295980721,16.80666384221344
Центральный,Брянская обл,Брянская,Брокеры,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Дилеры,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Специализированные депозитарии ИФ ПИФ и НПФ,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Регистраторы,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Управляющие компании ИФ ПИФ и НПФ,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Депозитарии,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Саморегулируемые организации в сфере финансового рынка,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Депозитариев,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Управляющих,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Специализированных депозитариев,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Управляющие компании специализированных обществ,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Страховые брокеры,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Микрофинансовые компании,34857.0,1142404.0,2,0.057377284333132515,0.17506941502305665
Центральный,Брянская обл,Брянская,Инвестиционные советники,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Жилищные накопительные кооперативы,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Доверительные управляющие,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Список лиц осуществляющих деятельность представителей владельцев облигаций,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Аудиторские организации оказывающие аудиторские услуги общественно значимым организациям на финансовом рынке,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Страховые организации,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Операторы инвестиционных платформ,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Операторы платежных систем,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Операторы информационных систем с выпуском цифровых финансовых активов,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Объединения субъектов страхового дела,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Информационные агентства,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Негосударственные пенсионные фонды НПФ,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Операторы товарных поставок,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Участники эксперимента по партнерскому финансированию,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Биржи,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Клиринговые организации,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Микрофинансовых организаций,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Аккредитованные организации осуществляющие аттестацию специалистов финансового рынка,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Операторы финансовых платформ,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,Бюро кредитных историй,34857.0,1142404.0,0,0.0,0.0
Центральный,Брянская обл,Брянская,СРО Страховых организаций и иностранных страховых организаций,34857.0,1142404.0,0,0.0,0.0
